,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51
4387,0.211445199,0.211445199,0.213385063,0.209505335,0.208050436,0.212900097,0.209505335,0.211445199,0.203200776,0.206595538,0.208535403,0.210960233,0.212900097,0.211930165,0.216779825,0.209505335,0.213870029,0.213870029,0.209990301,0.211445199,0.204655674,0.211930165,0.212415131,0.210475267,0.208535403,0.209990301,0.215324927,0.208535403,0.203685742,0.210960233,0.209990301,0.211930165,0.210475267,0.208535403,0.206595538,0.208535403,0.212900097,0.215809893,0.210960233,0.210960233,0.209505335,0.204170708,0.210960233,0.208535403,0.208535403,0.212900097,0.205625606,0.208535403,0.210475267,0.207080504
2194,0.219204656,0.214354995,0.216779825,0.212900097,0.215809893,0.210475267,0.220659554,0.215809893,0.216294859,0.20756547,0.222114452,0.211445199,0.214354995,0.215809893,0.214354995,0.213385063,0.214839961,0.216294859,0.212415131,0.212415131,0.209505335,0.216779825,0.212900097,0.212900097,0.213870029,0.208050436,0.220174588,0.211445199,0.212900097,0.214839961,0.215324927,0.22356935,0.21871969,0.215324927,0.212415131,0.211930165,0.219689622,0.21871969,0.216779825,0.216779825,0.213870029,0.213870029,0.216779825,0.214354995,0.214839961,0.213385063,0.214839961,0.213870029,0.216294859,0.212415131
1097,0.226964113,0.222114452,0.226479146,0.22356935,0.215324927,0.219204656,0.225024248,0.223084384,0.216294859,0.224539282,0.220659554,0.21871969,0.219204656,0.220659554,0.220174588,0.219689622,0.219689622,0.224539282,0.222599418,0.217749758,0.22114452,0.219689622,0.219689622,0.21871969,0.220659554,0.220659554,0.222599418,0.219204656,0.220174588,0.22114452,0.22114452,0.22599418,0.222114452,0.22114452,0.216779825,0.216779825,0.220659554,0.22356935,0.21871969,0.22356935,0.221629486,0.214839961,0.226479146,0.215324927,0.22356935,0.21871969,0.217749758,0.221629486,0.22114452,0.222599418
548,0.225024248,0.225024248,0.22599418,0.22356935,0.226479146,0.226479146,0.226964113,0.230843841,0.226964113,0.219689622,0.226964113,0.22356935,0.22599418,0.231813773,0.225024248,0.222114452,0.220174588,0.228419011,0.224054316,0.231328807,0.226964113,0.228903977,0.226479146,0.226964113,0.219689622,0.224539282,0.224539282,0.221629486,0.225509214,0.226479146,0.225024248,0.230843841,0.229388943,0.22114452,0.220659554,0.224539282,0.21871969,0.232298739,0.22114452,0.226479146,0.226479146,0.22356935,0.225509214,0.22356935,0.232783705,0.22356935,0.222114452,0.226479146,0.227449079,0.221629486
274,0.233753637,0.228419011,0.228419011,0.225509214,0.231328807,0.22356935,0.226964113,0.225509214,0.229388943,0.22599418,0.236178468,0.226964113,0.234723569,0.230358875,0.232298739,0.229388943,0.231328807,0.228903977,0.227449079,0.229873909,0.230843841,0.222599418,0.232298739,0.228903977,0.22599418,0.220659554,0.227934045,0.232783705,0.234723569,0.226964113,0.230843841,0.236663434,0.228419011,0.226479146,0.22599418,0.227449079,0.225024248,0.234238603,0.220659554,0.233268671,0.229388943,0.222114452,0.236178468,0.22599418,0.232783705,0.227449079,0.22599418,0.230358875,0.228903977,0.218234724
137,0.235208535,0.23957323,0.23957323,0.226964113,0.236178468,0.229388943,0.2371484,0.225509214,0.235693501,0.224539282,0.237633366,0.245392823,0.231328807,0.227934045,0.242967992,0.227934045,0.24442289,0.238118332,0.232298739,0.229388943,0.234723569,0.227449079,0.226964113,0.234723569,0.227449079,0.232298739,0.235693501,0.239088264,0.224054316,0.23957323,0.24199806,0.24442289,0.233268671,0.235208535,0.229388943,0.23957323,0.229873909,0.235208535,0.229873909,0.235693501,0.23957323,0.227934045,0.231328807,0.238118332,0.234723569,0.234238603,0.236663434,0.233753637,0.231813773,0.234238603
69,0.258486906,0.254607177,0.247817653,0.243937924,0.243937924,0.247332687,0.249272551,0.241513094,0.254607177,0.253637245,0.250242483,0.241028128,0.250242483,0.248787585,0.252667313,0.236663434,0.249272551,0.255092144,0.249272551,0.25557711,0.247332687,0.252182347,0.249757517,0.246847721,0.240543162,0.245392823,0.243937924,0.253152279,0.248787585,0.250242483,0.253152279,0.24199806,0.245877789,0.248787585,0.243937924,0.23957323,0.240058196,0.254607177,0.246847721,0.240058196,0.246847721,0.242967992,0.244907856,0.250727449,0.2371484,0.246847721,0.246362755,0.252667313,0.252182347,0.250727449
34,0.246847721,0.245877789,0.241028128,0.243937924,0.247332687,0.240543162,0.238603298,0.245392823,0.24442289,0.249757517,0.241513094,0.241513094,0.245877789,0.252182347,0.24199806,0.23957323,0.247817653,0.248302619,0.251212415,0.254607177,0.242967992,0.245392823,0.242967992,0.237633366,0.249272551,0.236178468,0.247332687,0.240543162,0.242483026,0.251212415,0.248787585,0.23957323,0.242483026,0.24442289,0.246362755,0.247817653,0.24199806,0.244907856,0.248302619,0.249757517,0.253152279,0.243452958,0.239088264,0.243452958,0.251212415,0.241028128,0.24199806,0.240543162,0.247332687,0.250727449
17,0.260911736,0.241513094,0.243452958,0.240058196,0.243937924,0.246847721,0.248787585,0.247332687,0.245392823,0.248787585,0.24199806,0.247817653,0.242967992,0.246847721,0.242967992,0.243937924,0.237633366,0.247817653,0.240543162,0.2371484,0.241028128,0.24442289,0.245392823,0.242483026,0.240543162,0.2371484,0.24442289,0.237633366,0.249757517,0.249757517,0.247332687,0.244907856,0.241513094,0.245392823,0.241028128,0.244907856,0.240058196,0.241513094,0.24199806,0.241513094,0.240058196,0.240543162,0.247332687,0.243452958,0.247817653,0.243937924,0.240058196,0.241028128,0.244907856,0.242483026
9,0.246362755,0.241513094,0.242967992,0.2371484,0.241513094,0.241028128,0.247332687,0.245392823,0.246847721,0.243452958,0.242483026,0.245877789,0.24199806,0.241028128,0.241513094,0.238118332,0.242483026,0.239088264,0.243452958,0.245877789,0.240543162,0.241513094,0.245392823,0.238118332,0.243452958,0.239088264,0.244907856,0.239088264,0.245877789,0.245392823,0.245392823,0.241028128,0.247332687,0.243452958,0.240543162,0.24442289,0.242483026,0.242967992,0.240058196,0.242483026,0.23957323,0.2371484,0.243937924,0.24199806,0.248787585,0.238603298,0.238118332,0.245392823,0.241028128,0.24199806
4,0.242483026,0.24442289,0.248787585,0.241028128,0.246362755,0.23957323,0.245877789,0.250242483,0.246362755,0.245877789,0.240543162,0.251697381,0.252182347,0.250727449,0.24442289,0.245877789,0.248787585,0.249272551,0.243452958,0.242483026,0.24442289,0.23957323,0.243452958,0.246847721,0.246362755,0.242483026,0.240058196,0.236663434,0.248302619,0.24442289,0.248787585,0.24442289,0.242967992,0.243937924,0.239088264,0.242483026,0.24199806,0.251212415,0.242483026,0.238118332,0.250727449,0.242967992,0.240543162,0.245877789,0.245392823,0.244907856,0.23957323,0.245392823,0.238603298,0.243452958
2,0.249757517,0.246362755,0.245877789,0.245392823,0.254607177,0.240543162,0.254122211,0.253152279,0.252182347,0.250242483,0.251697381,0.256062076,0.259456838,0.262366634,0.250727449,0.256062076,0.257516974,0.257032008,0.243937924,0.245877789,0.247817653,0.245877789,0.253637245,0.261881668,0.258486906,0.252667313,0.24442289,0.252182347,0.269641125,0.256547042,0.263336566,0.248302619,0.242483026,0.247332687,0.251697381,0.25557711,0.249757517,0.260911736,0.254607177,0.252182347,0.264791465,0.241513094,0.241513094,0.247817653,0.247817653,0.243937924,0.257032008,0.248787585,0.253637245,0.248302619
1,0.270126091,0.27400582,0.285645005,0.272065955,0.295829292,0.276915616,0.289039767,0.289524733,0.277885548,0.282250242,0.261881668,0.292919496,0.27885548,0.266246363,0.265761397,0.275945684,0.277400582,0.286614937,0.268671193,0.279340446,0.267701261,0.268186227,0.254607177,0.294374394,0.301648885,0.283705141,0.272065955,0.263821532,0.273520854,0.271096023,0.286614937,0.282735209,0.267701261,0.266731329,0.273520854,0.273520854,0.270126091,0.274975752,0.273035887,0.271580989,0.288069835,0.267701261,0.268186227,0.264791465,0.266246363,0.265761397,0.282250242,0.277400582,0.273035887,0.296314258
